lodí	by boat
řidit, jet autem	drive
upustit	drop
Pozdrav od	Greetings from
mít nehodu	have an accident
zranit se	hurt
nepravidelný	irregular
cesta	journey
naštěstí	luckily
už...ne (více)	not...any more
na cestě	on the way
ven z	out of
bolestivý	painful
kus papíru	piece of paper
pohled	postcard
pravidelný	regular
oddělený	separate
strašidelný	spooky
vrchol	top
číšník	waiter
kousnout	bite
zlomit	break
spadnout	fall over
mít mořskou nemoc	feel seasick
zapomenout	forget
ztratit se	get lost
nechat	leave
ztratit	lose
zmeškat	miss
ukrást	steal
jet špatným autobusem	take the wrong bus
jet kempovat, tábořit	go camping
jet na plachetnici	go sailing
starat se o	look after
piknik	picnic
nešťastný	unhappy
