dlouho	a long time
narozeninový dort	birthday cake
blahopřání k narozeninám	birthday card
sfouknout	blow out
bowlingová dráha	bowling alley
svíčka	candle
slavit	celebrate
mýt, čistit	clean
blízký k	close to
datum	date
rozhodnout (se)	decide
každý	each
navíc	extra
květiny	flowers
jet na dovolenou/prádzniny	go on holiday
pořádat oslavu	have a party
slyšet	heart
důležitý	important
za…dní	in …day's time
seznam	list
dívat se na 	look at
přát si	make a wish
možná	maybe
peníze	money
měsíc	month
svátek	name day
ne…moc	not…much
starší	older
vlastní	own
dárek	present
problém	problem
stejný	same
někdo	someone/somebody
někde	somewhere
sladkost	sweet
vzít	take
hračka	toy
leden	January
únor	February
březen	March
duben	April
květen	May
červen	June
červenec	July
srpen	August
září	September
říjen	October
listopad	November
prosinec	December
