Akce!	Action!
herečka	actress
správně	correctly
zubař	dentist
řádek, text (scénáře)	line
scéna	scene
dobrodružný film	adventure film
komedie	comedy
horor	horror film
muzikál	musical
romantická komedie	romcom
sci-fi film	sci-fi film
triler	thriller
western	western
Budeme dělat...?	Shall we do...?
Půjdeme...?	Shal we go...?
navrhnout	suggest
návrh	suggestion
Co budeme dělat? Co uděláme?	What shall we do?
Kde se sejdeme?	Where shall we meet?
Proč ne...?	Why don't you...?
dobrodružství	adventure
objevit se	appear
asistent(ka)	assistant
postava	character
vytvořit	create
tvůrce	creator
detektiv	detective
zlý	evil
bojovot	fight
filmová hvězda	film star
hrdina	hero
držet	hold
mezinárodní	international
vynálezce	inventor
moderní	modern
plastelina	plasticine
tajný agent	secret agent
hrát hlavní roli	star
televizní siriál	TV series
vyhrát	win
čaroděj, kouzelník	wizard
