vzduch	air
obojživelník	amphibian
páteř	backbone
dýchat	breathe
kapr	carp
třídění, členění	classification
studenokrevný	cold-blooded
řídit, ovládat	control
rychle, rychlý	fast
létat	fly
sladká (o vodě)	fresh
místo toho	instead
udržet, uchovat	keep
země, souš	land
klást vejce	lay eggs
savec	mammal
mléko	milk
více	more
vytvářet	produce
plaz	reptile
plavec	swimmer
teplota	temperature
želva(mořská)	turtle
druh	type
neobvyklý	unusual
obratlovec	vertebrate
teplokrevný	warm-blooded
velryba	whale
tráva	grass
na telefonu	on the phone
uspořádat	organize
probudit se	wake up
ošetřovatel zoo	zoo keeper
sám	alone
jeskyně	cave
ze strany na stranu	from side to side
legrační	funny
nastupovat	get on
vysoko, vysoký	high
zajímavý	interesting
vypadat jako	look like
téměř, skoro	nearly
dosáhnout	reach
houpat se, kolíbat se	sway
