téměř, skoro	almost
další	another
nikdo(v záporné  větě)	anyone
láhev	bottle
přinést zpět	bring back
vrátit se	come back
nakrájet	cut up
výborný	delicious
způsob stravování	diet
Promiňte.	Excuse me.
přinést	fetch
zjistit	find out
zdravý	healthy
klepat	knock
bochník	loaf
kouzelný	magic
normální, běžný	normal
škoda	pity
hotový	ready
hrnec, pánev	saucepan
plátek	slice
lžíce	spoon
kámen	stone
ochutnat	taste
tulák	tramp
jestli	whether
jablečný džus	aplle juice
Konečně!	At last!
tabulka	bar
trs,  hrozen	bunch
krabice(tetra pack)	carton
gram	gram
balíček	packet
hrnec	pot
množství	quantity
police, regál	shelf
konzerva	tin
ustaraný	worried
