přes, napříč	across
grilování	barbecue
ostružina	blackberry
zvonek	bluebell
chladný	chilly
podnebí, klima	climate
mrak	cloud
přijít	come in
narcis	daffodil
východní	eatern
(vesnická)slavnost	fete
mrazivo	frosty
senná rýma	hay fever
hurikán	hurricane
přísloví	saying
přeháňka	shower
sportovní den	sports day
bouřka	storm
federální, spolkový	federal
vlajka	flag
vytvořit	form
původní	original
obyvatelstvo	population
prezident	president
osadník	settler
hvězda	star
stát	state
časové pásmo	time zone
celý	whole
nudný	boring
flight	let
dokud	as long as
stáhnout	download
fakt	fact
informace	information
pozvánka	invitation
To nevadí.	It doesn't matter.
smích	laughing
národ	nation
prezentovat, představit	present
vyhledávač(na internetu)	search engine
zpívání	singing
turismus	tourism
slovo	word
