znuděný	bored
kamera	camcorder
kameraman	cameraperson
režisér	director
sestříhat	edit
vybavení	equipment
hlavně	especially
výborný, skvělý	excellent
cítit se špatně	feel sick
uvnitř	indoors
osvětlení	lighting
mediální výchova	media studies
mikrofon	microphone
premiéra	premiere
scénář	script
zvukař	soundperson
typ	tip
stativ	tripod
užitečný	useful
hlas	voice
(televizní) kanál	channel
zábava	entertainment
nic	nothing
názor	opinion
krásný	pretty
recenze	review
obrazovka, plátno	screen
usadit se	settle
průzkum	survey
ztlumit	turn down
